Date,Open,High,Low,Close,Adj Close,Volume
2018-06-30,5844.5,6333,5778,6205.5,6205.5,2322980304
2018-07-01,6205.5,6570,6190,6383.5,6383.5,1828580066
2018-07-02,6383.5,6432,6255,6346,6346,1334552363
2018-07-03,6346,6675,6268,6610,6610,1908182354
2018-07-04,6610,6670,6463.5,6505.5,6505.5,1803542193
2018-07-05,6505.5,6820,6412,6582,6582,2310207797
2018-07-06,6582,6730,6429,6526.5,6526.5,2647394794
2018-07-07,6526.5,6650,6453,6599.5,6599.5,1742814039
2018-07-08,6599.5,6868,6503,6756.5,6756.5,1559327485
2018-07-09,6756.5,6774.5,6670,6701,6701,1137205977
2018-07-10,6701,6841,6626,6668,6668,1664819307
2018-07-11,6668,6678,6260,6304,6304,2705577791
2018-07-12,6304,6399.5,6277,6371,6371,1767112110
2018-07-13,6371,6371,6065,6246.5,6246.5,2380315491
2018-07-14,6246.5,6350,6111,6213,6213,1778981873
2018-07-15,6213,6320,6181.5,6245.5,6245.5,1342839848
2018-07-16,6245.5,6392,6231,6347.5,6347.5,1314694866
2018-07-17,6347.5,6738,6338,6719.5,6719.5,2959875907
2018-07-18,6719.5,7470,6659.5,7318.5,7318.5,4090279858
2018-07-19,7318.5,7600,7230,7384,7384,4930792781
2018-07-20,7384,7584,7284,7466.5,7466.5,3254160878
2018-07-21,7466.5,7715,7270.5,7333,7333,4059000217
2018-07-22,7333,7450,7209.5,7401,7401,2078516076
2018-07-23,7401,7590,7321,7391.5,7391.5,2954588627
2018-07-24,7391.5,7799,7376,7720,7720,4401153931
2018-07-25,7720,8478,7694.5,8391,8391,7560074951
2018-07-26,8391,8487,8056,8177,8177,5858003803
2018-07-27,8177,8319.5,7850,7922,7922,4797481739
2018-07-28,7922,8280,7791,8190,8190,4714351308
2018-07-29,8190,8249.5,8075,8229.5,8229.5,2339162545
2018-07-30,8229.5,8302.5,8122,8219,8219,2694502222
2018-07-31,8219,8281.5,7842,8174.5,8174.5,5063640019
2018-08-01,8174.5,8174.5,7625,7727,7727,5811273710
2018-08-02,7727,7757.5,7430,7604.5,7604.5,4456770573
2018-08-03,7604.5,7717.5,7455.5,7539.5,7539.5,3227088342
2018-08-04,7539.5,7540,7292.5,7411,7411,4146372123
2018-08-05,7411,7487,6881,7005.5,7005.5,3524525987
2018-08-06,7005.5,7094,6870.5,7019.5,7019.5,2878841101
2018-08-07,7019.5,7180,6835,6931.5,6931.5,3539203955
2018-08-08,6931.5,7144,6646,6711.5,6711.5,4550047067
2018-08-09,6711.5,6712,6100,6274,6274,5593069624
2018-08-10,6274,6640,6182,6536,6536,3889886150
2018-08-11,6536,6578.5,5971,6138,6138,4436831128
2018-08-12,6138,6503,5970,6241,6241,3038561351
2018-08-13,6241,6499,6166,6308.5,6308.5,2604144385
