date,county,sum_sale_dollars,sum_sale_liters
2015-01-12T00:00:00.000,Des Moines,62591.76,4221.66
2016-02-17T00:00:00.000,Polk,176421.85,10447.03
2013-10-01T00:00:00.000,Hamilton,11319.34,879.74
2013-09-19T00:00:00.000,Johnson,156451.10,10153.23
2016-03-22T00:00:00.000,Polk,221740.18,15193.13
2015-05-11T00:00:00.000,Pottawattamie,58259.36,3861.66
2014-11-10T00:00:00.000,Adair,2282.83,193.50
2018-03-19T00:00:00.000,WASHINGTON,32132.47,2153.65
2019-11-19T00:00:00.000,LYON,14329.45,1041.48
2018-09-17T00:00:00.000,LEE,60522.74,3693.25
2018-02-05T00:00:00.000,JACKSON,19790.20,1550.82
2018-10-10T00:00:00.000,STORY,190745.35,13015.07
2014-02-25T00:00:00.000,Page,22664.31,1856.41
2017-05-11T00:00:00.000,Boone,4087.32,332.00
2019-01-07T00:00:00.000,Iowa,4243.31,298.35
2015-10-29T00:00:00.000,Poweshiek,19665.45,1426.93
2015-12-30T00:00:00.000,Clarke,17006.01,1183.60
2012-07-09T00:00:00.000,Clarke,14254.36,1228.25
2014-08-11T00:00:00.000,Polk,299722.27,18307.69
2015-04-29T00:00:00.000,Warren,1270.76,112.50
2012-05-22T00:00:00.000,Dickinson,134186.18,10451.20
2014-01-28T00:00:00.000,Tama,9013.96,708.23
2020-02-03T00:00:00.000,MITCHELL,9863.05,714.20
2019-04-24T00:00:00.000,PALO ALTO,10711.44,886.73
2017-01-17T00:00:00.000,HARRISON,6269.19,470.77
2014-05-06T00:00:00.000,O'Brien,19265.93,1602.68
2016-10-31T00:00:00.000,SIOUX,45542.54,3115.05
2016-01-04T00:00:00.000,Van Buren,9350.34,624.34
2012-03-15T00:00:00.000,Muscatine,3438.53,284.70
2019-03-15T00:00:00.000,FREMONT,2394.36,216.00
2015-12-07T00:00:00.000,Lee,99873.48,5810.27
2019-02-19T00:00:00.000,POLK,198092.86,12140.01
2014-06-19T00:00:00.000,Decatur,10323.16,809.85
2017-10-16T00:00:00.000,DELAWARE,2888.08,163.05
2016-04-18T00:00:00.000,Grundy,4208.74,399.21
2013-03-26T00:00:00.000,Story,15180.48,1066.10
2017-10-06T00:00:00.000,CALHOUN,0.00,5.00
2015-04-23T00:00:00.000,Black Hawk,159795.01,10189.93
2016-07-28T00:00:00.000,Boone,7441.54,564.05
2016-05-04T00:00:00.000,Bremer,7591.74,642.23
2016-09-21T00:00:00.000,CLAY,25197.70,1957.65
2018-05-31T00:00:00.000,Polk,87124.61,6581.81
2016-01-12T00:00:00.000,Montgomery,15294.54,1111.97
2018-11-28T00:00:00.000,LINN,110049.56,7047.35
2015-12-26T00:00:00.000,Iowa,9297.23,566.35
2018-06-25T00:00:00.000,JEFFERSON,14568.95,1069.51
2016-07-06T00:00:00.000,Johnson,174714.74,10952.53
2017-09-29T00:00:00.000,SHELBY,1386.00,48.75
2019-09-27T00:00:00.000,JONES,23129.96,1584.06
2014-02-20T00:00:00.000,Crawford,24065.88,2250.83
2017-04-24T00:00:00.000,JACKSON,19135.05,1429.75
2016-01-19T00:00:00.000,,7013.19,505.26
2014-06-02T00:00:00.000,Jones,4642.38,405.00
2014-10-15T00:00:00.000,Monroe,5739.14,439.25
2012-05-22T00:00:00.000,Jefferson,16616.65,1253.07
2019-01-03T00:00:00.000,POLK,66170.38,3844.05
2018-11-09T00:00:00.000,KOSSUTH,33947.55,2083.12
2018-09-17T00:00:00.000,Mitchell,1545.03,120.25
2014-09-10T00:00:00.000,Linn,40195.18,2630.79
2014-12-03T00:00:00.000,Sac,8327.14,714.99
2019-12-27T00:00:00.000,POWESHIEK,2958.98,177.00
